temperature,humidity,co2,ec,ph,voltage,battery_level,dew_point,vpd,timestamp,anomaly_type,is_anomaly
-999.0,0.0,-999.0,1.75,5.38,0.0,0.0,0.0,0.0,2025-09-01T17:13:30.008020,multi_sensor_failure,1
26.33,62.39,971.0,2.02,6.24,3.21,52.0,18.57,1.289,2025-06-25T01:00:28.723989,normal,0
23.09,60.43,743.0,1.38,5.91,3.44,82.0,15.01,1.118,2025-07-06T07:20:28.723989,normal,0
26.79,38.73,982.0,1.39,6.25,3.35,94.0,11.58,2.158,2025-08-05T01:50:28.723989,normal,0
20.15,90.81,510.0,1.51,6.0,3.33,84.0,18.6,0.217,2025-07-15T02:20:28.723989,normal,0
32.43,75.42,811.0,2.34,5.18,3.3,74.0,27.52,1.197,2025-09-18T12:00:29.493096,normal,0
29.76,60.6,957.0,1.54,6.78,3.38,80.0,21.33,1.649,2025-07-27T04:30:28.723989,normal,0
22.25,66.82,994.0,2.28,6.68,3.22,83.0,15.79,0.891,2025-08-06T04:00:28.723989,normal,0
20.04,85.64,566.0,1.05,6.92,3.19,74.0,17.56,0.337,2025-07-06T18:30:28.723989,normal,0
20.25,50.6,1019.0,2.27,5.58,1.8158362966478814,0.5856984431752981,9.67,1.173,2025-08-29T00:18:30.088983,battery_depleted,1
33.42,60.12,1341.0,2.11,6.35,3.41,71.0,24.63,2.054,2025-07-11T22:20:28.723989,normal,0
22.82,95.0,1109.0,1.35,6.11,3.49,66.0,21.98,0.139,2025-08-04T22:10:28.723989,normal,0
16.52645806170701,74.62967499005764,906.0,1.09,6.26,3.3219889212489457,69.0,12.0,0.477,2025-09-06T16:48:29.878023,high_fluctuation,1
20.312594986337857,95.94556681412277,977.0,2.03,7.06,3.29,92.0,19.64,0.097,2025-08-23T22:53:29.977689,dew_point_close,1
25.49,66.12,629.0,2.55,5.4,3.26,65.0,18.7,1.105,2025-09-02T06:54:29.671041,normal,0
27.7,48.92,865.0,2.08,6.93,3.31,88.0,15.99,1.897,2025-08-03T13:40:28.723989,normal,0
19.31,73.21,664.0,1.7,6.1,2.93,28.0,14.39,0.6,2025-09-14T00:06:29.541778,normal,0
19.34,83.07,625.0,2.2,5.16,3.35,79.0,16.39,0.38,2025-08-30T00:16:29.617561,normal,0
24.44,89.54,825.0,1.68,7.01,2.94,88.0,22.61,0.32,2025-09-05T02:42:29.658774,normal,0
22.4,80.34,672.0,1.71,6.99,3.53,85.0,18.85,0.533,2025-07-09T05:10:28.723989,normal,0
22.9,67.87,824.0,1.32,6.59,3.49,78.0,16.65,0.897,2025-06-30T02:30:28.723989,normal,0
15.0,86.14,663.0,1.56,7.27,3.26,89.0,12.7,0.236,2025-07-15T01:20:28.723989,normal,0
35.74,38.33,802.0,1.5,6.33,3.48,67.0,19.36,3.612,2025-09-16T22:34:29.536043,normal,0
22.25,93.73,748.0,1.29,7.16,3.31,41.0,21.19,0.168,2025-08-09T22:40:28.723989,normal,0
24.55,63.68,1058.0,1.78,6.62,3.16,74.0,17.21,1.12,2025-07-24T01:50:28.723989,normal,0
21.89,74.22,300.0,1.42,6.93,3.01,24.0,17.09,0.677,2025-09-10T19:00:29.703101,normal,0
29.39,63.04,497.0,2.57,5.12,3.13,72.0,21.62,1.514,2025-09-20T09:39:29.736483,normal,0
27.1,47.43,828.0,1.42,7.4,3.44,92.0,14.96,1.885,2025-07-14T01:40:28.723989,normal,0
18.69,89.8,949.0,1.68,6.29,3.32,77.0,16.98,0.22,2025-09-20T23:59:29.649214,normal,0
23.176230901755424,94.9835176164563,831.0,1.6,6.98,3.44,71.0,22.33,0.142,2025-09-20T04:12:29.799991,vpd_too_low,1
28.9,54.08,1101.0,1.8,6.55,3.33,70.0,18.69,1.829,2025-06-30T02:40:28.723989,normal,0
22.75,54.16,828.0,0.87,6.66,3.21,82.0,13.01,1.269,2025-08-09T01:20:28.723989,normal,0
30.44,41.05,775.0,1.34,6.3,3.42,58.0,15.73,2.565,2025-06-21T17:30:28.723989,normal,0
31.89,50.62,521.0,1.42,6.47,3.46,63.0,20.38,2.333,2025-07-14T05:20:28.723989,normal,0
23.957183691228515,94.29282565185952,835.0,1.0,7.57,3.06,71.0,22.98,0.17,2025-09-21T06:38:30.050233,vpd_too_low,1
30.71,33.7,375.0,1.12,6.19,3.29,62.0,12.92,2.93,2025-09-12T08:29:29.496370,normal,0
22.83,86.73,957.0,1.18,5.0,3.32,84.0,20.5,0.369,2025-08-09T22:50:28.723989,normal,0
28.61427045333268,55.82,637.0,3.92153635087369,7.4100887894735115,3.31,100.0,18.93,1.731,2025-09-22T02:18:29.862994,gradual_drift,1
10.513863163341037,79.27,800.0,1.57,6.91,1.8539999999999999,73.0,7.07,0.263,2025-08-26T11:38:29.822645,sudden_drop,1
35.95,35.91,700.0,1.75,6.37,3.51,71.0,18.5,3.797,2025-08-24T12:42:29.527216,normal,0
34.56,64.14,1068.0,1.16,6.57,3.18,89.0,26.79,1.968,2025-07-29T06:50:28.723989,normal,0
20.9,93.63,634.0,1.74,5.65,3.24,79.0,19.83,0.157,2025-09-05T11:22:29.717020,normal,0
39.16133100849479,59.49,2444.211704285403,1.33,6.66,3.39,73.0,29.83,2.857,2025-09-16T06:33:30.036221,environmental_stress,1
23.53,78.05,498.0,1.61,6.04,3.14,73.0,19.48,0.637,2025-07-05T05:10:28.723989,normal,0
26.1,0.0,746.0,1.71,6.72,3.25,92.0,0.0,0.0,2025-09-17T17:41:29.811526,sensor_failure,1
35.38,71.1,683.0,1.31,5.65,3.58,65.0,29.34,1.659,2025-08-03T13:00:28.723989,normal,0
25.73,73.8,949.0,1.25,5.66,2.268482637498453,4.832158336897463,20.7,0.867,2025-08-29T02:13:29.993970,battery_depleted,1
28.51,64.81,1488.0,1.26,5.83,3.19,60.0,21.24,1.37,2025-08-31T06:41:29.489256,normal,0
27.41,71.99,659.0,2.47,5.38,3.21,63.0,21.91,1.023,2025-08-25T17:44:29.653085,normal,0
26.88,55.26,850.8614897089201,1.0521760678678151,8.40939066675974,3.29,92.0,17.16,1.584,2025-09-16T14:15:29.947921,calibration_drift,1
32.82,48.73,1201.0,1.1,6.72,3.44,75.0,20.61,2.553,2025-07-06T13:50:28.723989,normal,0
26.98,74.41,890.0,1.25,6.86,2.5884935295030664,6.1504306179493256,22.04,0.911,2025-09-08T20:55:29.853936,low_voltage,1
26.79,72.07,787.0,0.81,7.07,3.34,87.0,21.34,0.984,2025-07-27T11:30:28.723989,normal,0
30.85,54.13,668.0,1.41,5.52,3.43,72.0,20.51,2.043,2025-07-01T15:40:28.723989,normal,0
22.29,78.69,890.0,1.81,5.67,2.96,28.0,18.41,0.573,2025-09-14T02:32:29.581407,normal,0
22.73,75.93,656.0,1.61,7.11,3.06,82.0,18.27,0.665,2025-07-01T05:20:28.723989,normal,0
26.3,54.53,1057.0,1.7,6.87,3.34,86.0,16.41,1.556,2025-07-10T00:00:28.723989,normal,0
23.94,69.17,1325.0,1.44,6.82,3.02,33.0,17.94,0.917,2025-09-15T00:20:29.538558,normal,0
28.64,47.88,1026.0,1.06,6.54,3.38,69.0,16.52,2.045,2025-06-25T22:00:28.723989,normal,0
25.42,76.28,673.0,0.97,7.52,2.410971000930058,8.023835633668314,20.94,0.77,2025-09-21T06:37:29.818177,low_voltage,1
37.16,50.31,707.0,1.0,7.58,3.45,64.0,25.11,3.145,2025-07-17T07:10:28.723989,normal,0
0.0,-1.0,508.0,1.7,6.8,-1.0,81.0,0.0,0.0,2025-09-22T11:08:29.872114,sensor_failure,1
21.91,68.77,644.0,1.11,6.81,3.28,76.0,15.91,0.821,2025-07-13T06:10:28.723989,normal,0
30.3,75.73,967.0,1.68,5.77,2.9,23.0,25.54,1.048,2025-09-08T11:24:29.554516,normal,0
28.8,52.3,446.0,2.61,5.24,3.28,70.0,18.06,1.889,2025-09-15T08:46:29.480138,normal,0
15.0,91.63,549.0,1.34,7.02,3.43,81.0,13.65,0.143,2025-06-16T02:40:28.723989,normal,0
26.28,67.92,675.0,1.6,6.1,3.29,83.0,19.89,1.096,2025-08-08T09:10:28.723989,normal,0
31.64,61.74,708.0,1.22,6.74,3.1,78.0,23.4,1.782,2025-06-29T02:30:28.723989,normal,0
-999.0,0.0,-999.0,1.66,6.51,0.0,0.0,0.0,0.0,2025-09-20T20:30:29.872835,multi_sensor_failure,1
24.47,59.97,802.0,1.48,7.53,3.34,76.0,16.19,1.229,2025-08-03T23:10:28.723989,normal,0
29.6,72.63,892.0,2.15,6.58,3.11,83.0,24.16,1.135,2025-06-19T04:00:28.723989,normal,0
17.686385543104425,96.27805997351197,386.0,1.82,5.43,3.38,100.0,17.09,0.075,2025-09-22T06:54:29.886566,vpd_too_low,1
34.03,79.77,1315.0,1.42,8.0,3.22,77.0,30.04,1.078,2025-07-04T01:40:28.723989,normal,0
36.91823324811876,48.66,528.0,3.0483406411744496,9.45902396399321,3.56,75.0,24.33,3.207,2025-09-22T06:16:30.033064,gradual_drift,1
36.52,31.27,581.0,1.62,6.45,3.34,83.0,16.81,4.201,2025-09-08T00:04:29.562810,normal,0
30.0,44.64,842.0,1.28,5.12,3.41,74.0,16.65,2.349,2025-07-15T21:50:28.723989,normal,0
40.173892550161625,82.94,806.0,3.0214189320421796,9.309436968905034,3.39,82.0,36.71,1.27,2025-08-28T20:06:30.076955,gradual_drift,1
16.284098150614046,87.64049290764082,518.0,1.42,6.01,3.23658784321826,74.0,14.23,0.229,2025-09-08T05:48:30.052858,high_fluctuation,1
31.86,28.02,562.0,1.2,6.29,3.11,49.0,11.11,3.396,2025-09-05T07:44:29.530448,normal,0
25.23,65.96,1138.0,1.84,5.49,3.26,74.0,18.42,1.093,2025-07-14T01:00:28.723989,normal,0
41.87863529499277,72.03940776846954,871.0,1.19,6.21,4.206429117144318,80.0,35.8,2.278,2025-09-05T17:14:30.011997,high_fluctuation,1
23.66,69.54,564.0,1.89,6.13,3.25,84.0,17.76,0.891,2025-06-18T06:00:28.723989,normal,0
26.36,58.47,727.0,1.75,6.37,3.34,65.0,17.56,1.426,2025-06-28T17:10:28.723989,normal,0
25.72,59.15,873.0,2.01,6.55,3.36,63.0,17.15,1.351,2025-07-12T23:10:28.723989,normal,0
29.78,41.85,462.0,1.68,6.14,3.14,71.0,15.44,2.436,2025-07-12T19:00:28.723989,normal,0
31.32,54.95,926.0,1.15,6.16,3.3,60.0,21.19,2.061,2025-06-15T15:10:28.723989,normal,0
32.63,70.33,668.0,1.27,6.66,3.49,83.0,26.52,1.462,2025-06-24T11:20:28.723989,normal,0
-999.0,0.0,-999.0,1.65,7.39,0.0,0.0,0.0,0.0,2025-09-05T02:09:29.797443,multi_sensor_failure,1
27.18,75.29,562.0,1.18,6.5,1.3120944128943104,2.6831847459266163,22.43,0.89,2025-09-19T18:24:29.966247,battery_depleted,1
29.46,69.44,1648.0,1.54,6.17,3.3,63.0,23.28,1.257,2025-08-26T05:26:29.622933,normal,0
37.31,65.41,1289.0,1.31,5.64,3.18,73.0,29.73,2.207,2025-07-09T20:50:28.723989,normal,0
31.52,54.09,676.0,1.23,6.39,3.4,69.0,21.12,2.124,2025-08-07T16:20:28.723989,normal,0
19.09,92.59,765.0,1.84,5.25,3.5,77.0,17.86,0.164,2025-09-12T11:54:29.495999,normal,0
44.749923153531356,17.11496009793304,353.0,2.15,6.51,3.43,50.0,14.75,7.841,2025-09-15T16:40:29.776621,environmental_stress,1
27.26,42.11,552.0,1.6,6.97,3.33,78.0,13.27,2.096,2025-08-02T19:50:28.723989,normal,0
28.65,27.95,811.0,1.85,6.38,3.34,68.0,8.33,2.828,2025-09-21T20:37:29.547924,normal,0
30.61,54.03,746.0,1.87,5.89,3.39,73.0,20.25,2.02,2025-08-04T07:00:28.723989,normal,0
26.87,83.13,909.0,1.75,7.08,3.19,78.0,23.76,0.597,2025-07-03T04:40:28.723989,normal,0
29.18,79.86,1637.0,0.84,5.45,3.31,79.0,25.34,0.815,2025-09-04T06:28:29.550561,normal,0
30.84,77.93,883.0,0.92,6.29,3.36,60.0,26.54,0.983,2025-06-18T15:30:28.723989,normal,0
23.76,91.86,961.0,1.76,6.48,3.61,79.0,22.36,0.239,2025-09-19T14:04:29.498050,normal,0
18.91,70.59,708.0,2.09,6.43,3.42,76.0,13.45,0.643,2025-06-27T02:00:28.723989,normal,0
20.0,71.72,870.0,0.8,5.86,3.11,100.0,14.74,0.661,2025-07-23T05:10:28.723989,normal,0
37.62,38.99,720.0,1.05,7.36,3.41,59.0,21.31,3.959,2025-09-04T00:09:29.536255,normal,0
-999.0,0.0,-999.0,1.71,6.16,0.0,0.0,0.0,0.0,2025-09-14T10:17:30.094635,multi_sensor_failure,1
29.87,58.65,716.0,1.19,6.5,3.38,95.0,20.9,1.741,2025-07-08T15:10:28.723989,normal,0
19.60358601889729,94.89780365001755,933.0,1.59,8.0,3.23,52.0,18.76,0.116,2025-08-30T19:32:29.768979,vpd_too_low,1
28.9,84.57,636.0,1.39,7.1,3.04,30.0,26.04,0.615,2025-09-10T15:04:29.624352,normal,0
19.23,91.36,757.0,1.81,5.19,3.39,70.0,17.79,0.193,2025-08-30T07:54:29.563760,normal,0
19.05,80.7,601.0,0.9,6.45,3.25,81.0,15.66,0.425,2025-07-25T04:00:28.723989,normal,0
28.77,52.77,966.0,1.05,6.82,3.39,99.0,18.17,1.867,2025-07-11T05:20:28.723989,normal,0
18.15,66.43,894.0,1.86,7.16,2.87,25.0,11.79,0.699,2025-08-31T21:34:29.574300,normal,0
33.16,54.73,1615.0,1.41,6.65,3.32,96.0,22.83,2.298,2025-08-30T11:16:29.741375,normal,0
34.53,55.15,1227.0,1.18,6.84,3.32,65.0,24.22,2.457,2025-07-29T15:20:28.723989,normal,0
32.15,67.89,1298.0,1.91,6.36,3.35,71.0,25.47,1.54,2025-07-17T22:30:28.723989,normal,0
23.15,73.18,672.0,1.45,6.62,3.18,91.0,18.08,0.76,2025-07-16T07:50:28.723989,normal,0
26.65,30.52,820.0,1.46,5.72,3.3,58.0,7.9,2.427,2025-07-13T18:50:28.723989,normal,0
31.11,67.75,828.0409050837399,3.3232673281473213,4.3834201950676315,3.25,93.0,24.44,1.458,2025-08-29T09:51:29.938615,calibration_drift,1
30.19,68.8,793.0,2.22,7.21,3.42,59.0,23.82,1.338,2025-06-17T10:10:28.723989,normal,0
27.19,95.0,790.0,2.18,6.03,3.32,72.0,26.32,0.18,2025-07-13T07:20:28.723989,normal,0
18.03,90.56,989.0,1.41,6.39,3.3,72.0,16.46,0.195,2025-09-01T21:36:29.677519,normal,0
31.25,30.73,682.0,0.85,6.86,3.02,31.0,11.98,3.157,2025-08-25T10:48:29.533801,normal,0
37.84,39.56,736.0,1.41,7.16,3.24,100.0,21.74,3.969,2025-08-29T06:36:29.605835,normal,0
39.35595555700495,74.03,2260.4208296814595,0.8,7.3,3.22,80.0,33.87,1.851,2025-08-27T01:40:29.826061,environmental_stress,1
27.72,76.03,495.0,1.24,6.48,3.15,64.0,23.11,0.891,2025-08-02T21:40:28.723989,normal,0
32.71561131380279,70.28,679.0,3.8001049394102737,8.68725773731397,3.25,71.0,26.59,1.471,2025-09-12T04:28:30.047779,gradual_drift,1
30.38,46.91,1132.0,1.02,6.14,3.13,68.0,17.78,2.302,2025-06-17T05:10:28.723989,normal,0
25.92,58.2,1414.0,0.87,6.69,3.19,70.0,17.08,1.398,2025-08-31T17:55:29.478874,normal,0
23.04620943200607,98.85895614815068,456.0,1.69,6.29,3.39,58.0,22.86,0.032,2025-09-05T13:30:30.125035,dew_point_close,1
7.734664032769635,67.89,843.0,1.88,7.49,1.8,77.0,2.17,0.338,2025-08-28T20:26:29.946180,sudden_drop,1
22.81,69.72,974.0,1.11,6.3,3.17,90.0,16.99,0.841,2025-08-02T18:20:28.723989,normal,0
29.89,64.63,849.0,1.3,6.59,3.53,76.0,22.5,1.491,2025-07-19T08:00:28.723989,normal,0
36.64,32.33,378.0,2.09,7.85,3.37,91.0,17.44,4.164,2025-09-05T09:26:29.644476,normal,0
29.5,62.35,832.0,2.36,5.43,3.44,67.0,21.55,1.552,2025-09-22T14:22:29.508023,normal,0
20.24,62.67,680.0,1.63,7.3,1.7577480455954038,10.3616629222819,12.89,0.886,2025-08-27T22:16:29.952188,low_voltage,1
20.07,74.71,773.0,0.93,6.43,3.24,74.0,15.44,0.594,2025-06-25T05:50:28.723989,normal,0
29.32,50.48,921.0,1.66,6.2,3.28,86.0,17.98,2.021,2025-06-28T06:50:28.723989,normal,0
36.09583840174587,62.2,868.0,1.49,5.86,4.381,78.0,27.72,2.258,2025-09-13T19:19:29.766384,sudden_spike,1
27.47,50.64,1055.0,0.81,6.88,3.15,78.0,16.33,1.809,2025-06-21T22:20:28.723989,normal,0
29.46,72.47,607.0,1.49,5.84,3.22,59.0,23.99,1.132,2025-07-10T07:10:28.723989,normal,0
29.84,44.28,631.0,1.49,6.55,3.18,65.0,16.38,2.343,2025-07-07T06:20:28.723989,normal,0
40.0,43.45,892.0,1.92,6.67,3.1,74.0,25.22,4.171,2025-08-01T11:00:28.723989,normal,0
31.27,55.41,1568.0,1.31,5.63,3.28,89.0,21.28,2.034,2025-09-11T14:20:29.542988,normal,0
35.24,57.99,585.0,1.94,6.68,3.42,64.0,25.73,2.394,2025-08-07T15:20:28.723989,normal,0
22.33,71.99,787.0,1.06,6.44,1.2444453705693874,5.36675397611748,17.03,0.756,2025-09-22T00:15:29.878370,battery_depleted,1
24.85,94.02,664.0,1.21,6.15,2.88,27.0,23.82,0.188,2025-09-17T19:02:29.632743,normal,0
23.81,82.27,689.0,1.65,6.55,3.4,67.0,20.6,0.523,2025-06-22T17:30:28.723989,normal,0
41.44302822797031,55.35,659.0,3.6607236292670438,10.175637765814635,3.26,55.0,30.69,3.555,2025-09-01T10:46:30.048551,gradual_drift,1
23.06,90.06,623.0,2.49,5.15,3.2,75.0,21.34,0.28,2025-08-24T05:15:29.630675,normal,0
31.83,64.79,1015.0,1.29,5.87,3.15,73.0,24.38,1.658,2025-08-03T15:30:28.723989,normal,0
28.09,30.36,887.0,1.47,5.29,3.06,100.0,9.07,2.646,2025-09-21T03:57:29.749707,normal,0
21.47,71.19,678.0,1.02,5.52,3.19,100.0,16.03,0.737,2025-07-03T02:40:28.723989,normal,0
36.18,40.38,1199.0,0.87,5.92,3.19,75.0,20.6,3.577,2025-07-13T08:50:28.723989,normal,0
21.43,78.01,830.0,1.54,5.87,3.28,75.0,17.44,0.562,2025-06-20T22:20:28.723989,normal,0
15.0,69.03,618.0,1.56,7.27,3.24,58.0,9.36,0.528,2025-08-01T03:00:28.723989,normal,0
31.95,69.33,830.0,1.53,6.33,3.46,91.0,25.63,1.454,2025-07-08T11:10:28.723989,normal,0
27.23,68.45,608.0,1.32,6.67,3.46,75.0,20.92,1.14,2025-07-19T02:30:28.723989,normal,0
30.28,58.17,811.0,1.33,5.74,3.24,74.0,21.15,1.804,2025-07-04T19:10:28.723989,normal,0
